n_total,n_retained,coverage,failure_rate,success_rate,failure_cp_upper,benchmark,selector,target_risk,public_pool_cases,manifest_cases,manifest_coverage,dataset
305,0,0.0,,,,posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.4,,428,0.0,posebusters_benchmark
85,0,0.0,,,,posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.45,,85,0.0,astex_diverse
99,0,0.0,,,,posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.45,,189,0.0,dockgen
305,173,0.5672131147540984,0.45664739884393063,0.5433526011560694,0.522025985297481,posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.45,,428,0.40420560747663553,posebusters_benchmark
85,0,0.0,,,,posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.5,,85,0.0,astex_diverse
99,32,0.32323232323232326,0.625,0.375,0.7673779288977712,posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.5,,189,0.1693121693121693,dockgen
305,211,0.6918032786885245,0.4549763033175355,0.5450236966824644,0.5139416751296099,posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.5,,428,0.4929906542056075,posebusters_benchmark
85,69,0.8117647058823529,0.36231884057971014,0.6376811594202898,0.4678989293606492,posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.55,,85,0.8117647058823529,astex_diverse
99,94,0.9494949494949495,0.6702127659574468,0.32978723404255317,0.7503086986598375,posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.55,,189,0.4973544973544973,dockgen
305,250,0.819672131147541,0.488,0.512,0.5418975467816836,posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.55,,428,0.5841121495327103,posebusters_benchmark
85,83,0.9764705882352941,0.43373493975903615,0.5662650602409638,0.5299216365695392,posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.6,,85,0.9764705882352941,astex_diverse
99,99,1.0,0.6868686868686869,0.31313131313131315,0.7635160084695116,posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.6,,189,0.5238095238095238,dockgen
305,266,0.8721311475409836,0.5,0.5,0.5521155345958744,posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.6,,428,0.6214953271028038,posebusters_benchmark
85,0,0.0,,,,posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.3,,85,0.0,astex_diverse
99,0,0.0,,,,posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.3,,189,0.0,dockgen
305,0,0.0,,,,posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.3,,428,0.0,posebusters_benchmark
85,0,0.0,,,,posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.35,,85,0.0,astex_diverse
99,0,0.0,,,,posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.35,,189,0.0,dockgen
305,0,0.0,,,,posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.35,,428,0.0,posebusters_benchmark
85,0,0.0,,,,posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.4,,85,0.0,astex_diverse
99,0,0.0,,,,posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.4,,189,0.0,dockgen
305,0,0.0,,,,posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.4,,428,0.0,posebusters_benchmark
85,0,0.0,,,,posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.45,,85,0.0,astex_diverse
99,0,0.0,,,,posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.45,,189,0.0,dockgen
305,0,0.0,,,,posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.45,,428,0.0,posebusters_benchmark
85,0,0.0,,,,posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.5,,85,0.0,astex_diverse
99,14,0.1414141414141414,0.7142857142857143,0.2857142857142857,0.8959526924076343,posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.5,,189,0.07407407407407407,dockgen
305,0,0.0,,,,posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.5,,428,0.0,posebusters_benchmark
85,0,0.0,,,,posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.55,,85,0.0,astex_diverse
99,88,0.8888888888888888,0.6590909090909091,0.34090909090909094,0.7427989195299497,posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.55,,189,0.4656084656084656,dockgen
305,105,0.3442622950819672,0.5047619047619047,0.49523809523809526,0.5888767317030583,posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.55,,428,0.24532710280373832,posebusters_benchmark
85,78,0.9176470588235294,0.47435897435897434,0.5256410256410257,0.5732492248364781,posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.6,,85,0.9176470588235294,astex_diverse
99,99,1.0,0.6666666666666666,0.33333333333333337,0.7450215964457696,posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.6,,189,0.5238095238095238,dockgen
305,131,0.42950819672131146,0.5190839694656488,0.48091603053435117,0.5938076499182827,posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.6,,428,0.3060747663551402,posebusters_benchmark
