selector,method,memory_bin,n,success,median_rmsd,pb_valid_all,mean_memory_score,official_success,delta_vs_official
fusion_rank_confidence_structure_physics,boltz2,all,630,0.7634920634920634,0.7524321675300598,1.0,0.6841840339121722,0.6244975671673366,0.13899449632472682
fusion_rank_confidence_structure_physics,chai,all,680,0.6676470588235294,0.915334939956665,0.9985294117647059,0.6741812664284047,0.6244975671673366,0.04314949165619275
fusion_rank_confidence_structure_physics,protenix,all,687,0.6622998544395924,0.8805158138275146,0.9970887918486172,0.6706706303400384,0.6244975671673366,0.03780228727225576
fusion_rank_confidence_structure_memory_physics,af3,all,697,0.7388809182209469,0.7553877830505371,0.9985652797704447,0.6663423794024945,0.6244975671673366,0.1143833510536103
fusion_rank_confidence_structure_memory_physics,af3_no_template,all,697,0.7589670014347202,0.7478856444358826,0.9956958393113343,0.6664652641409265,0.6244975671673366,0.13446943426738356
fusion_rank_confidence_structure_memory_physics,boltz,all,670,0.6611940298507463,0.9986804723739624,0.9955223880597015,0.6783334080593707,0.6244975671673366,0.03669646268340965
fusion_rank_confidence_structure_memory_physics,boltz1x,all,666,0.6606606606606606,0.9685862064361572,0.9954954954954955,0.6806378204447932,0.6244975671673366,0.03616309349332403
fusion_rank_confidence_structure_memory_physics,boltz2,all,630,0.765079365079365,0.7458240985870361,1.0,0.6841840339121722,0.6244975671673366,0.1405817979120284
fusion_rank_confidence_structure_memory_physics,chai,all,680,0.6676470588235294,0.9130485355854034,0.9955882352941177,0.6741812664284047,0.6244975671673366,0.04314949165619275
fusion_rank_confidence_structure_memory_physics,protenix,all,687,0.6564774381368268,0.8778951168060303,1.0,0.6706706303400384,0.6244975671673366,0.031979870969490176
fusion_rank_confidence_structure_memory_physics_antimemory,af3,all,697,0.7403156384505022,0.75681471824646,0.9985652797704447,0.6663423794024945,0.6244975671673366,0.11581807128316557
fusion_rank_confidence_structure_memory_physics_antimemory,af3_no_template,all,697,0.757532281205165,0.7491063475608826,0.9956958393113343,0.6664652641409265,0.6244975671673366,0.1330347140378284
fusion_rank_confidence_structure_memory_physics_antimemory,boltz,all,670,0.6582089552238806,0.9917367994785309,0.9940298507462687,0.6783334080593707,0.6244975671673366,0.033711388056543945
fusion_rank_confidence_structure_memory_physics_antimemory,boltz1x,all,666,0.6621621621621622,0.9885734021663666,0.9954954954954955,0.6806378204447932,0.6244975671673366,0.03766459499482555
fusion_rank_confidence_structure_memory_physics_antimemory,boltz2,all,630,0.765079365079365,0.7458240985870361,1.0,0.6841840339121722,0.6244975671673366,0.1405817979120284
fusion_rank_confidence_structure_memory_physics_antimemory,chai,all,680,0.6705882352941176,0.9094507694244385,0.9970588235294118,0.6741812664284047,0.6244975671673366,0.046090668126780976
fusion_rank_confidence_structure_memory_physics_antimemory,protenix,all,687,0.6564774381368268,0.8678462505340576,1.0,0.6706706303400384,0.6244975671673366,0.031979870969490176
official_ranking,af3,high,300,0.9033333333333333,0.330759197473526,0.7633333333333333,0.9572682121790035,0.8885714285714286,0.014761904761904754
official_ranking,af3,low,97,0.18556701030927836,7.8910441398620605,0.32989690721649484,0.2685289496570315,0.13825757575757575,0.04730943455170261
official_ranking,af3,mid,300,0.51,1.9323796033859253,0.65,0.5040428889103519,0.48261076703191996,0.027389232968080046
official_ranking,af3_no_template,high,300,0.9233333333333333,0.34777654707431793,0.72,0.9575537143879607,0.8885714285714286,0.03476190476190477
official_ranking,af3_no_template,low,97,0.17525773195876287,7.625801086425781,0.27835051546391754,0.2685289496570315,0.13825757575757575,0.03700015620118713
official_ranking,af3_no_template,mid,300,0.52,1.7920406460762024,0.6166666666666667,0.5040428889103519,0.48261076703191996,0.037389232968080055
official_ranking,boltz,high,300,0.85,0.5935752093791962,0.5733333333333334,0.9464044066293124,0.8885714285714286,-0.03857142857142859
official_ranking,boltz,low,70,0.08571428571428572,7.857880353927612,0.2571428571428571,0.26989991338778635,0.13825757575757575,-0.05254329004329003
official_ranking,boltz,mid,300,0.48333333333333334,2.0907338857650757,0.49,0.5055635582461321,0.48261076703191996,0.0007225663014133743
official_ranking,boltz1x,high,300,0.85,0.5457308888435364,0.9333333333333333,0.9452008001052491,0.8885714285714286,-0.03857142857142859
official_ranking,boltz1x,low,66,0.06060606060606061,7.1792778968811035,0.8181818181818182,0.27202637287612225,0.13825757575757575,-0.07765151515151514
official_ranking,boltz1x,mid,300,0.5133333333333333,1.9119031429290776,0.93,0.5059693592494448,0.48261076703191996,0.030722566301413345
official_ranking,boltz2,mid,299,0.5418060200668896,1.7600971460342407,1.0,0.549797860716944,0.48261076703191996,0.05919525303496964
official_ranking,boltz2,high,300,0.91,0.43619489669799805,1.0,0.8616660759639482,0.8885714285714286,0.021428571428571463
official_ranking,boltz2,low,31,0.06451612903225806,8.908732414245605,1.0,0.2627922006812176,0.13825757575757575,-0.07374144672531768
official_ranking,chai,high,300,0.8733333333333333,0.4541986435651779,0.8166666666666667,0.9524094216639715,0.8885714285714286,-0.015238095238095273
official_ranking,chai,low,80,0.2125,9.581171989440918,0.5,0.26674635697012333,0.13825757575757575,0.07424242424242425
official_ranking,chai,mid,300,0.41333333333333333,2.505332827568054,0.6066666666666667,0.504602420381713,0.48261076703191996,-0.06927743369858663
official_ranking,protenix,high,300,0.91,0.4405972957611084,0.7333333333333333,0.9543330116269505,0.8885714285714286,0.021428571428571463
official_ranking,protenix,low,87,0.10344827586206896,12.181598663330078,0.39080459770114945,0.2653680882638497,0.13825757575757575,-0.03480929989550678
official_ranking,protenix,mid,300,0.39666666666666667,2.7204418182373047,0.61,0.5045459862552211,0.48261076703191996,-0.0859441003652533
oracle_min_rmsd,af3,high,300,0.9733333333333334,0.26127198338508606,1.0,0.9572682121790035,0.8885714285714286,0.08476190476190482
