selector,dataset,similarity_risk,n_cases,manifest_cases,case_coverage,success,any_ligand_success,pb_valid_all,median_rmsd,median_centroid_distance,mean_memory_tanimoto
lodo_logreg_antimemory_weighted,posebusters_benchmark,mid_or_unknown,30,428,0.07009345794392523,0.4666666666666667,0.5,0.6666666666666666,2.210474776507695,0.7194430804952324,0.5400922302447368
lodo_logreg_antimemory_weighted,posebusters_benchmark,pdb_overlap,85,428,0.1985981308411215,0.4,0.4,0.6823529411764706,3.898778054859321,1.8717389008219047,0.9870348646361766
lodo_logreg_ordinary,astex_diverse,high_ligand_or_scaffold,27,85,0.3176470588235294,0.37037037037037035,0.4444444444444444,0.7037037037037037,4.539266847613846,3.6422632808956985,0.6473362666035998
lodo_logreg_ordinary,astex_diverse,low_similarity,46,85,0.5411764705882353,0.6956521739130435,0.6956521739130435,0.782608695652174,0.9790542511433087,0.476240423603916,0.29098164783725144
lodo_logreg_ordinary,astex_diverse,mid_or_unknown,12,85,0.1411764705882353,0.5833333333333334,0.6666666666666666,0.9166666666666666,0.815208938014301,0.43580311358088186,0.5051039853147968
lodo_logreg_ordinary,dockgen,high_ligand_or_scaffold,15,189,0.07936507936507936,0.06666666666666667,0.06666666666666667,0.4,29.98268478556971,29.80915393134879,0.5372906593743747
lodo_logreg_ordinary,dockgen,low_similarity,75,189,0.3968253968253968,0.3333333333333333,0.3466666666666667,0.02666666666666667,12.38285837551984,11.744587865915376,0.23795292198987827
lodo_logreg_ordinary,dockgen,mid_or_unknown,9,189,0.047619047619047616,0.4444444444444444,0.4444444444444444,0.2222222222222222,2.706887694752039,2.276901229390518,0.516564068647402
lodo_logreg_ordinary,posebusters_benchmark,high_ligand_or_scaffold,122,428,0.2850467289719626,0.5,0.5081967213114754,0.6557377049180327,1.751961643071709,0.6525137954329066,0.781905794917732
lodo_logreg_ordinary,posebusters_benchmark,low_similarity,68,428,0.1588785046728972,0.4411764705882353,0.4411764705882353,0.6617647058823529,2.59713528794843,1.0808979456437044,0.29134839213261715
lodo_logreg_ordinary,posebusters_benchmark,mid_or_unknown,30,428,0.07009345794392523,0.43333333333333335,0.4666666666666667,0.5,2.2963627960773714,0.7194430804952324,0.5400922302447368
lodo_logreg_ordinary,posebusters_benchmark,pdb_overlap,85,428,0.1985981308411215,0.36470588235294116,0.36470588235294116,0.5411764705882353,4.5334203856373625,1.896433384148694,0.9870348646361766
lodo_prior_physics_calibrated,astex_diverse,high_ligand_or_scaffold,27,85,0.3176470588235294,0.5925925925925926,0.6666666666666666,0.7037037037037037,1.642640149880673,0.6856450219159981,0.6473362666035998
lodo_prior_physics_calibrated,astex_diverse,low_similarity,46,85,0.5411764705882353,0.6739130434782609,0.6956521739130435,0.8260869565217391,1.1074580140979458,0.4261962353016861,0.29098164783725144
lodo_prior_physics_calibrated,astex_diverse,mid_or_unknown,12,85,0.1411764705882353,0.5833333333333334,0.6666666666666666,0.9166666666666666,0.815208938014301,0.43580311358088186,0.5051039853147968
lodo_prior_physics_calibrated,dockgen,high_ligand_or_scaffold,15,189,0.07936507936507936,0.0,0.0,0.4,23.754991853082164,23.345515235104617,0.5372906593743747
lodo_prior_physics_calibrated,dockgen,low_similarity,75,189,0.3968253968253968,0.4266666666666667,0.44,0.02666666666666667,3.4501427192219163,1.3287787107464342,0.23795292198987827
lodo_prior_physics_calibrated,dockgen,mid_or_unknown,9,189,0.047619047619047616,0.6666666666666666,0.6666666666666666,0.2222222222222222,1.847121768590257,1.0894716342337774,0.516564068647402
lodo_prior_physics_calibrated,posebusters_benchmark,high_ligand_or_scaffold,122,428,0.2850467289719626,0.5327868852459017,0.5327868852459017,0.7786885245901639,1.4482269611877518,0.6508883941127617,0.781905794917732
lodo_prior_physics_calibrated,posebusters_benchmark,low_similarity,68,428,0.1588785046728972,0.5,0.5,0.7352941176470589,2.210711159521632,1.010694570300646,0.29134839213261715
lodo_prior_physics_calibrated,posebusters_benchmark,mid_or_unknown,30,428,0.07009345794392523,0.5,0.5333333333333333,0.6666666666666666,1.9970131298143723,0.6372337774354784,0.5400922302447368
lodo_prior_physics_calibrated,posebusters_benchmark,pdb_overlap,85,428,0.1985981308411215,0.4470588235294118,0.4588235294117647,0.6,2.5656815965130755,1.219968576805874,0.9870348646361766
lodo_run_prior,astex_diverse,high_ligand_or_scaffold,27,85,0.3176470588235294,0.5555555555555556,0.5925925925925926,0.5925925925925926,1.766385029348008,0.8220617493298722,0.6473362666035998
lodo_run_prior,astex_diverse,low_similarity,46,85,0.5411764705882353,0.6739130434782609,0.717391304347826,0.6739130434782609,1.0990894168145944,0.5069590173891241,0.29098164783725144
lodo_run_prior,astex_diverse,mid_or_unknown,12,85,0.1411764705882353,0.5833333333333334,0.6666666666666666,0.75,0.815208938014301,0.43580311358088186,0.5051039853147968
lodo_run_prior,dockgen,high_ligand_or_scaffold,15,189,0.07936507936507936,0.0,0.0,0.13333333333333333,23.754991853082164,23.345515235104617,0.5372906593743747
lodo_run_prior,dockgen,low_similarity,75,189,0.3968253968253968,0.41333333333333333,0.4266666666666667,0.02666666666666667,5.68441591882889,1.6934463668814452,0.23795292198987827
