selector,method,similarity_bin,n,success,median_rmsd,pb_valid_all,replacement_rate,eligible_rate
geometry_filter_strict,protenix,mid,300,0.3933333333333333,2.7012449502944946,0.6392857142857142,0.07333333333333333,0.9933333333333333
official_ranking,all_methods,all,4727,0.6244975671673366,1.109410047531128,0.6682938735660239,0.0,1.0
official_ranking,all_methods,high,2100,0.8885714285714286,0.4438283741474151,0.7566666666666667,0.0,1.0
official_ranking,all_methods,low,528,0.13825757575757575,8.14870548248291,0.4124748490945674,0.0,1.0
official_ranking,all_methods,mid,2099,0.48261076703191996,2.0988357067108154,0.6505555555555556,0.0,1.0
official_ranking,af3,all,697,0.6341463414634146,1.0004606246948242,0.6542324246771879,0.0,1.0
official_ranking,af3,high,300,0.9033333333333333,0.330759197473526,0.7633333333333333,0.0,1.0
official_ranking,af3,low,97,0.18556701030927836,7.8910441398620605,0.32989690721649484,0.0,1.0
official_ranking,af3,mid,300,0.51,1.9323796033859253,0.65,0.0,1.0
official_ranking,af3_no_template,all,697,0.6456241032998565,1.0154482126235962,0.6140602582496413,0.0,1.0
official_ranking,af3_no_template,high,300,0.9233333333333333,0.34777654707431793,0.72,0.0,1.0
official_ranking,af3_no_template,low,97,0.17525773195876287,7.625801086425781,0.27835051546391754,0.0,1.0
official_ranking,af3_no_template,mid,300,0.52,1.7920406460762024,0.6166666666666667,0.0,1.0
official_ranking,boltz,all,670,0.6059701492537314,1.2641462087631226,0.5029850746268657,0.0,1.0
official_ranking,boltz,high,300,0.85,0.5935752093791962,0.5733333333333334,0.0,1.0
official_ranking,boltz,low,70,0.08571428571428572,7.857880353927612,0.2571428571428571,0.0,1.0
