selector,method,memory_bin,n,success,median_rmsd,pb_valid_all,pair_auroc,pair_auprc
nested_pair_rank_structure_memory_ordinary_all_success,chai,mid,300,0.4166666666666667,2.477561593055725,0.6067415730337079,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,protenix,all,687,0.5982532751091703,1.109410047531128,0.6425269645608629,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,protenix,high,300,0.9266666666666666,0.4405972957611084,0.7370242214532872,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,protenix,low,87,0.12643678160919541,12.181598663330078,0.39759036144578314,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,protenix,mid,300,0.4066666666666667,2.7491214275360107,0.6173285198555957,0.793760274852353,0.18699683214414653
official_ranking,all_methods,all,4727,0.6244975671673366,1.109410047531128,0.6682938735660239,,
official_ranking,all_methods,high,2100,0.8885714285714286,0.4438283741474151,0.7566666666666667,,
official_ranking,all_methods,low,528,0.13825757575757575,8.14870548248291,0.4124748490945674,,
official_ranking,all_methods,mid,2099,0.48261076703191996,2.0988357067108154,0.6505555555555556,,
official_ranking,af3,all,697,0.6341463414634146,1.0004606246948242,0.6542324246771879,,
official_ranking,af3,high,300,0.9033333333333333,0.330759197473526,0.7633333333333333,,
official_ranking,af3,low,97,0.18556701030927836,7.8910441398620605,0.32989690721649484,,
official_ranking,af3,mid,300,0.51,1.9323796033859253,0.65,,
official_ranking,af3_no_template,all,697,0.6456241032998565,1.0154482126235962,0.6140602582496413,,
official_ranking,af3_no_template,high,300,0.9233333333333333,0.34777654707431793,0.72,,
official_ranking,af3_no_template,low,97,0.17525773195876287,7.625801086425781,0.27835051546391754,,
official_ranking,af3_no_template,mid,300,0.52,1.7920406460762024,0.6166666666666667,,
official_ranking,boltz,all,670,0.6059701492537314,1.2641462087631226,0.5029850746268657,,
official_ranking,boltz,high,300,0.85,0.5935752093791962,0.5733333333333334,,
official_ranking,boltz,low,70,0.08571428571428572,7.857880353927612,0.2571428571428571,,
official_ranking,boltz,mid,300,0.48333333333333334,2.0907338857650757,0.49,,
official_ranking,boltz1x,all,666,0.6201201201201201,1.1631397008895874,0.9204204204204204,,
official_ranking,boltz1x,high,300,0.85,0.5457308888435364,0.9333333333333333,,
official_ranking,boltz1x,low,66,0.06060606060606061,7.1792778968811035,0.8181818181818182,,
official_ranking,boltz1x,mid,300,0.5133333333333333,1.9119031429290776,0.93,,
official_ranking,boltz2,all,630,0.6936507936507936,0.9397163987159728,,,
official_ranking,boltz2,high,300,0.91,0.43619489669799805,,,
official_ranking,boltz2,low,31,0.06451612903225806,8.908732414245605,,,
official_ranking,boltz2,mid,299,0.5418060200668896,1.7600971460342407,,,
official_ranking,chai,all,680,0.5926470588235294,1.1785191297531128,0.6867647058823529,,
official_ranking,chai,high,300,0.8733333333333333,0.4541986435651779,0.8166666666666667,,
official_ranking,chai,low,80,0.2125,9.581171989440918,0.5,,
official_ranking,chai,mid,300,0.41333333333333333,2.505332827568054,0.6066666666666667,,
