threshold,objective,primary,secondary,tertiary,selector,outer_fold,chosen_threshold
0.6,low_success,0.14599537523649356,0.6327366791284317,-0.3672633208715683,nested_pair_rank_structure_memory_antimemory_low_success,4,0.6
0.7,low_success,0.14116039520706325,0.6314143473937288,-0.3685856526062712,nested_pair_rank_structure_memory_antimemory_low_success,4,0.6
0.02,all_success,0.6089397429603615,0.1292831616565062,-0.3910602570396384,nested_pair_rank_structure_memory_ordinary_all_success,4,0.7
0.05,all_success,0.6099977342245383,0.1292831616565062,-0.39000226577546165,nested_pair_rank_structure_memory_ordinary_all_success,4,0.7
0.1,all_success,0.6123778474293938,0.12458832597575503,-0.3876221525706061,nested_pair_rank_structure_memory_ordinary_all_success,4,0.7
0.2,all_success,0.6187226481040914,0.13425828603461565,-0.38127735189590856,nested_pair_rank_structure_memory_ordinary_all_success,4,0.7
0.3,all_success,0.6250672389847648,0.143647957396118,-0.37493276101523526,nested_pair_rank_structure_memory_ordinary_all_success,4,0.7
0.4,all_success,0.6271830117190942,0.143647957396118,-0.3728169882809058,nested_pair_rank_structure_memory_ordinary_all_success,4,0.7
0.5,all_success,0.6306202770120296,0.143647957396118,-0.36937972298797045,nested_pair_rank_structure_memory_ordinary_all_success,4,0.7
0.6,all_success,0.6319428185407566,0.14599537523649359,-0.3680571814592433,nested_pair_rank_structure_memory_ordinary_all_success,4,0.7
0.7,all_success,0.6324725484519299,0.14599537523649359,-0.36752745154807015,nested_pair_rank_structure_memory_ordinary_all_success,4,0.7
